Phase-V v4 cross-corpus specificity (spelled view)
schema=phase5-crosscorpus-v4.1; feature_schema=phase5-theory-v4.1
grids: 4 corpora x one direct + 5 baselines; 36 cells/grid; 15 rows/cell

Direct versus five-seed size-matched Wikipedia baseline; specificity is direct row DeltaKL minus the mean baseline row DeltaKL.
corpus | model | family | extraction | direct residual_r(p) dkl(p) r2 | baseline dkl mean sd [min,max] sig/5 | row mean Wilcoxon-p
dolmino_dclm | olmo2_7b | E_modulation | D_doc | +0.1783(+0.0930) +0.006114(+0.0650) +0.040824 | +0.001239 0.002764 [-0.001791,+0.005503] 1/5 | +0.004875 p=0.276855
olmomix_dclm_big | olmo2_1b | C_harmonic | A_win40 | +0.1138(+0.2579) +0.004391(+0.3353) +0.022820 | -0.000398 0.001523 [-0.001701,+0.001593] 0/5 | +0.004789 p=0.120544
olmomix_dclm_big | olmo2_1b | C_harmonic | B_any | +0.1154(+0.1934) +0.005157(+0.1704) +0.023278 | -0.001231 0.000705 [-0.002036,-0.000579] 0/5 | +0.006389 p=0.135376
olmomix_dclm_big | olmo2_1b | C_harmonic | D_doc | +0.2594(+0.0915) +0.015623(+0.1064) +0.073079 | -0.003090 0.002300 [-0.007180,-0.001835] 0/5 | +0.018712 p=0.0255737
olmomix_dclm_big | olmo2_1b | D_chord | A_win40 | +0.0358(+0.4288) -0.000281(+0.5342) -0.002010 | -0.000874 0.000621 [-0.001594,-0.000072] 0/5 | +0.000594 p=0.561401
olmomix_dclm_big | olmo2_1b | D_chord | B_any | -0.0324(+0.5977) -0.000252(+0.4588) -0.009920 | -0.001411 0.001776 [-0.003914,+0.000990] 0/5 | +0.001159 p=0.302795
olmomix_dclm_big | olmo2_1b | D_chord | D_doc | +0.1389(+0.2429) +0.005018(+0.2424) +0.015324 | -0.000542 0.001474 [-0.002804,+0.000855] 0/5 | +0.005560 p=0.0479126
olmomix_dclm_big | olmo2_1b | E_modulation | A_win40 | +0.1975(+0.1429) +0.004976(+0.3633) +0.033635 | +0.001901 0.000910 [+0.000897,+0.002818] 3/5 | +0.003075 p=0.359131
olmomix_dclm_big | olmo2_1b | E_modulation | B_any | +0.0928(+0.2484) +0.000324(+0.5482) -0.000679 | +0.000248 0.000739 [-0.000509,+0.001361] 0/5 | +0.000076 p=0.977966
olmomix_dclm_big | olmo2_1b | E_modulation | D_doc | +0.2972(+0.0630) +0.014773(+0.1544) +0.045258 | +0.001881 0.001725 [-0.000593,+0.003953] 2/5 | +0.012891 p=0.072998
olmomix_dclm_big | gemma2_2b | C_harmonic | A_win40 | +0.1846(+0.1259) +0.014359(+0.2139) +0.038004 | -0.002661 0.002212 [-0.005894,-0.000283] 0/5 | +0.017020 p=0.00671387
olmomix_dclm_big | gemma2_2b | C_harmonic | B_any | +0.1699(+0.0940) +0.011543(+0.1304) +0.032657 | -0.002160 0.001458 [-0.003696,-0.000308] 0/5 | +0.013703 p=0.0946045
olmomix_dclm_big | gemma2_2b | C_harmonic | D_doc | +0.2863(+0.0325) +0.029217(+0.1029) +0.081869 | -0.002416 0.003185 [-0.006123,+0.002634] 0/5 | +0.031633 p=0.0637207
olmomix_dclm_big | gemma2_2b | D_chord | A_win40 | +0.1065(+0.2514) +0.003207(+0.4343) -0.005495 | -0.001083 0.001237 [-0.002482,+0.000631] 0/5 | +0.004289 p=0.302795
olmomix_dclm_big | gemma2_2b | D_chord | B_any | +0.0717(+0.2979) -0.001666(+0.8531) -0.001167 | -0.002402 0.002369 [-0.005906,+0.000389] 0/5 | +0.000736 p=0.719727
olmomix_dclm_big | gemma2_2b | D_chord | D_doc | +0.3407(+0.0195) +0.027632(+0.0470) +0.071269 | -0.000290 0.000896 [-0.001492,+0.000488] 0/5 | +0.027922 p=0.00115967
olmomix_dclm_big | gemma2_2b | E_modulation | A_win40 | +0.1724(+0.1524) +0.007230(+0.3278) +0.026374 | -0.000383 0.000478 [-0.000958,+0.000123] 0/5 | +0.007612 p=0.0637207
olmomix_dclm_big | gemma2_2b | E_modulation | B_any | +0.1336(+0.1719) +0.000805(+0.5327) +0.021324 | -0.001760 0.001625 [-0.003613,-0.000051] 0/5 | +0.002565 p=0.977966
